Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,780.0,785.0,765.0,780.0,558.847900390625,113720000
2010-01-05,785.0,790.0,780.0,785.0,562.4302978515625,148765000
2010-01-06,775.0,795.0,770.0,775.0,555.2655639648438,95310000
2010-01-07,765.0,775.0,755.0,765.0,548.1007690429688,92665000
2010-01-08,770.0,770.0,755.0,770.0,551.68310546875,79305000
2010-01-11,770.0,775.0,765.0,770.0,551.68310546875,106620000
2010-01-12,785.0,795.0,765.0,785.0,562.4302978515625,263335000
2010-01-13,785.0,790.0,775.0,785.0,562.4302978515625,100560000
2010-01-14,785.0,795.0,780.0,785.0,562.4302978515625,59415000
2010-01-15,780.0,790.0,780.0,780.0,558.847900390625,65545000
2010-01-18,780.0,795.0,780.0,790.0,566.0126342773438,153080000
2010-01-19,820.0,820.0,790.0,820.0,587.5067749023438,296615000
2010-01-20,810.0,830.0,810.0,810.0,580.342041015625,229800000
2010-01-21,790.0,810.0,780.0,790.0,566.0126342773438,132555000
2010-01-22,790.0,790.0,765.0,790.0,566.0126342773438,124145000
2010-01-25,780.0,785.0,775.0,780.0,558.847900390625,133575000
2010-01-26,780.0,780.0,750.0,760.0,544.5184326171875,185215000
2010-01-27,755.0,765.0,755.0,755.0,540.9360961914062,107175000
2010-01-28,765.0,770.0,755.0,765.0,548.1007690429688,95655000
2010-01-29,765.0,770.0,750.0,765.0,548.1007690429688,184275000
2010-02-01,755.0,760.0,750.0,755.0,540.9360961914062,156205000
2010-02-02,755.0,770.0,750.0,755.0,540.9360961914062,131690000
2010-02-03,755.0,760.0,750.0,755.0,540.9360961914062,113720000
2010-02-04,740.0,755.0,740.0,740.0,530.1890258789062,180550000
2010-02-05,725.0,735.0,720.0,725.0,519.4419555664062,202610000
2010-02-08,710.0,720.0,695.0,710.0,508.6949462890625,449110000
2010-02-09,725.0,725.0,695.0,725.0,519.4419555664062,204800000
2010-02-10,715.0,735.0,710.0,715.0,512.2772216796875,205875000
2010-02-11,730.0,730.0,715.0,730.0,523.0242919921875,145495000
2010-02-12,755.0,760.0,730.0,755.0,540.9360961914062,183510000
2010-02-15,760.0,770.0,745.0,760.0,544.5184326171875,123085000
2010-02-16,765.0,765.0,750.0,765.0,548.1007690429688,53635000
2010-02-17,765.0,770.0,760.0,765.0,548.1007690429688,58645000
2010-02-18,755.0,770.0,755.0,755.0,540.9360961914062,65795000
2010-02-19,755.0,755.0,745.0,755.0,540.9360961914062,55230000
2010-02-22,750.0,755.0,740.0,750.0,537.3536987304688,95025000
2010-02-23,745.0,750.0,730.0,745.0,533.7713623046875,219200000
2010-02-24,735.0,735.0,720.0,735.0,526.6066284179688,222415000
2010-02-25,715.0,735.0,715.0,715.0,512.2772216796875,222605000
2010-03-01,720.0,730.0,710.0,720.0,515.8595581054688,229890000
2010-03-02,730.0,740.0,715.0,730.0,523.0242919921875,338660000
2010-03-03,740.0,740.0,730.0,740.0,530.1890258789062,117505000
2010-03-04,725.0,740.0,715.0,725.0,519.4419555664062,510280000
2010-03-05,725.0,730.0,715.0,725.0,519.4419555664062,95315000
2010-03-08,745.0,750.0,725.0,745.0,533.7713623046875,263225000
2010-03-09,745.0,750.0,735.0,745.0,533.7713623046875,99220000
2010-03-10,750.0,750.0,740.0,750.0,537.3536987304688,92360000
2010-03-11,750.0,750.0,740.0,750.0,537.3536987304688,163280000
2010-03-12,750.0,755.0,740.0,750.0,537.3536987304688,111595000
2010-03-15,745.0,755.0,740.0,745.0,533.7713623046875,91685000
2010-03-17,785.0,785.0,750.0,785.0,562.4302978515625,692780000
2010-03-18,785.0,795.0,775.0,785.0,562.4302978515625,233270000
